frase,situacao,grupo_semantico
Estou com uma dor forte no peito que desce pelo braço esquerdo e não passa de jeito nenhum.,alto risco,dor_toracica_irradiada
"A dor no meu peito espalhou para o queixo e para o ombro esquerdo, começou faz vinte minutos.",alto risco,dor_toracica_irradiada
dor no peito irradiando pro braco esquerdo com formigamento na mao,alto risco,dor_toracica_irradiada
"Sinto um aperto muito forte no peito mesmo parado no sofá, sem ter feito esforço nenhum.",alto risco,dor_toracica_em_repouso
A dor no peito apareceu enquanto eu dormia e continua mesmo depois de eu levantar.,alto risco,dor_toracica_em_repouso
De repente minha fala embolou e o lado direito do rosto caiu.,alto risco,sinais_neurologicos_subitos
Perdi a força no braço e na perna do lado esquerdo agora há pouco.,alto risco,sinais_neurologicos_subitos
minha visao escureceu de um lado so e eu nao consigo levantar o braco,alto risco,sinais_neurologicos_subitos
Comecei a faltar ar do nada e não consigo completar uma frase inteira.,alto risco,dispneia_subita
"Estou ofegante parado, respirando rápido e curto, e isso começou há meia hora.",alto risco,dispneia_subita
"nao consigo respirar direito, sinto que falta o ar mesmo sentada",alto risco,dispneia_subita
Desmaiei no trabalho e só acordei quando me colocaram no chão.,alto risco,sincope
Apaguei por alguns segundos em pé na fila e não lembro de ter caído.,alto risco,sincope
"Dor no peito com suor frio escorrendo e enjoo forte, estou passando mal.",alto risco,dor_toracica_com_sudorese
"Fiquei pálido, suando gelado, com um peso no peito que não alivia.",alto risco,dor_toracica_com_sudorese
"Meu coração disparou e eu quase desmaiei, tive que sentar no chão.",alto risco,palpitacao_com_presincope
coracao batendo muito rapido e a vista escureceu junto,alto risco,palpitacao_com_presincope
Acordei no meio da noite sufocando e tive que sentar na beirada da cama para respirar.,alto risco,ortopneia_noturna
"Não consigo deitar, afogo na hora que encosto a cabeça no travesseiro.",alto risco,ortopneia_noturna
A dor no peito que antes só vinha subindo escada agora vem andando devagar.,alto risco,angina_progressiva
Cada dia eu preciso de menos esforço para a dor no peito aparecer.,alto risco,angina_progressiva
"Meu marido ficou confuso de repente, não sabe que dia é e fala coisa sem sentido.",alto risco,confusao_mental_subita
Fiquei desorientada de uma hora para outra e não reconheci a minha rua.,alto risco,confusao_mental_subita
Minhas pernas incharam muito em dois dias e agora eu também estou sem ar.,alto risco,edema_com_dispneia
