id_relato,relato,sintomas_encontrados,qtd_sintomas,diagnostico_sugerido,pontuacao,confianca,placar_completo,origens_consultadas
1,Há dois dias sinto um aperto no tórax que aparece quando subo a escada do prédio e some assim que eu paro para descansar; já deixei de levar meu filho a pé na escola por causa disso.,aperto no tórax; subo a escada; paro para descansar,3,Angina,6,0.75,Angina:6 | Infarto Agudo do Miocárdio:2,conhecimento_geral_equipe; texto_02_sindrome_coronariana_scielo
2,"Faz uma semana que acordo com CANSAÇO CONSTANTE, mesmo dormindo oito horas por noite, e no fim da tarde não consigo mais terminar o serviço.",cansaço constante; mesmo dormindo,2,Insuficiência Cardíaca,4,1.0,Insuficiência Cardíaca:4,conhecimento_geral_equipe; texto_02_sindrome_coronariana_scielo
3,"Desde ontem a noite estou com falta de ar quando deito, preciso empilhar dois travesseiros para conseguir dormir e acordo várias vezes.",falta de ar quando deito; dois travesseiros,2,Insuficiência Cardíaca,6,1.0,Insuficiência Cardíaca:6,conhecimento_geral_equipe
4,"Sinto o coracao disparado do nada, umas tres vezes por semana faz um mes, dura uns minutos e passa sozinho; parei de dirigir com medo de acontecer no transito.",coração disparado; dura uns minutos e passa,2,Arritmia,5,1.0,Arritmia:5,conhecimento_geral_equipe; texto_02_sindrome_coronariana_scielo
5,"Tenho dor de cabeça na nuca quase todas as manhãs há uns vinte dias, junto com a visão embaçada, e tive que parar de ler no computador no trabalho.",dor de cabeça na nuca; visão embaçada,2,Hipertensão Arterial,4,1.0,Hipertensão Arterial:4,conhecimento_geral_equipe
6,"Minhas pernas estão inchando no fim do dia faz duas semanas, o sapato aperta e eu preciso deitar com o pé para cima para melhorar.",inchando; sapato aperta; pé para cima,3,Insuficiência Cardíaca,6,1.0,Insuficiência Cardíaca:6,conhecimento_geral_equipe
7,"Ontem tive uma dor no peito muito forte que irradiou para o braço esquerdo, com suor frio e enjoo; chamei o vizinho porque não conseguia nem levantar do sofá.",dor no peito; irradiou para o braço esquerdo; suor frio; enjoo,4,Infarto Agudo do Miocárdio,8,1.0,Infarto Agudo do Miocárdio:8,texto_02_sindrome_coronariana_scielo
8,Faz três dias que tenho uma dor no peito que piora quando eu respiro fundo e melhora se eu me inclino para a frente; não consigo mais dormir de barriga para cima.,dor no peito; respiro fundo; me inclino para a frente; dormir de barriga para cima,4,Pericardite,8,0.8,Pericardite:8 | Infarto Agudo do Miocárdio:2,conhecimento_geral_equipe; texto_02_sindrome_coronariana_scielo
9,"Na sexta-feira tive uma tontura forte, minha fala ficou enrolada por uns dez minutos e o braço direito ficou fraco; voltou ao normal, mas fiquei muito assustada.",tontura forte; fala ficou enrolada; ficou fraco,3,Acidente Vascular Cerebral,8,1.0,Acidente Vascular Cerebral:8,conhecimento_geral_equipe; texto_02_sindrome_coronariana_scielo
10,"Tenho tosse seca a noite e canso para caminhar duas quadras, isso comecou ha uns dois meses e vem piorando; agora eu paro no meio do caminho para respirar.",tosse seca a noite; canso para caminhar,2,Insuficiência Cardíaca,4,1.0,Insuficiência Cardíaca:4,conhecimento_geral_equipe; texto_02_sindrome_coronariana_scielo
